,Country1,Occupation,Birth year,lifespan
19679,Russian Federation,lawyer,1972,37
19680,United States,politician,1954,49
19681,United States,athlete,1954,55
19682,France,engineer,1843,63
19683,Canada,columnist,1943,75
19684,Mexico,researcher,1935,47
19685,United States,artist,1913,62
19686,India,artist,1958,57
19687,United States,athlete,1951,66
19688,Canada,athlete,1930,84
19689,United States,politician,1617,60
19690,United States,activist,1958,49
19691,United States,artist,1933,68
19692,United Kingdom,researcher,1946,71
19693,United States,researcher,1868,21
19694,Afghanistan,politician,1952,55
19695,United States,artist,1913,51
19696,United States,artist,1913,51
19697,United Kingdom,artist,1934,81
19698,Saudi Arabia,artist,1980,21
19699,Brazil,athlete,1951,66
19700,United States,judge,1952,55
19701,United States,artist,1899,63
19702,United Kingdom,artist,1899,63
19703,United Kingdom,politician,1939,76
19704,Cameroon,politician,1935,57
19705,New Zealand,athlete,1942,59
19706,United States,astronaut,1955,61
19706,United States,meteorologist,1955,61
19706,United States,ecologist,1955,61
19707,United Kingdom,astronaut,1955,61
19707,United Kingdom,meteorologist,1955,61
19707,United Kingdom,ecologist,1955,61
19708,United States,artist,1898,21
19709,United Kingdom,religious figure,1951,60
19710,Norway,inventor,1878,47
19711,Australia,athlete,1945,74
19712,United States,journalist,1942,68
19713,United States,artist,1922,91
19714,Portugal,politician,1598,40
19715,United States,researcher,1911,96
19716,Italy,artist,1939,38
19717,Belgium,artist,1935,83
19718,"Iran, Islamic Republic of",ruler,1742,55
19719,United States,politician,1822,40
19720,Turkmenistan,politician,1940,66
19721,Australia,artist,1929,79
19722,United Kingdom,artist,1914,46
19723,United States,nurse,1943,56
19723,United States,serial killer,1943,56
19723,United States,criminal,1943,56
19724,Sweden,politician,1913,76
19725,United States,artist,1923,89
19726,United States,music executive,1936,80
19727,United Kingdom,artist,1921,63
19728,United States,artist,1906,82
19729,Bulgaria,gangster,1970,33
19730,Canada,artist,1953,58
19731,Germany,military personnel,1760,71
19732,China,athlete,1928,26
19733,United States,journalist,1928,85
19734,United States,jockey,1953,48
19735,Haiti,politician,1914,49
19736,United States,artist,1961,58
19737,United Kingdom,researcher,1871,62
19738,Serbia,athlete,1955,61
19739,France,religious figure,1913,55
19740,Turkey,artist,1931,65
19741,United States,religious figure,1860,59
19742,United States,artist,1946,67
19743,United States,artist,1947,64
19744,Guatemala,politician,1927,47
19745,Chile,artist,1932,41
19746,United States,artist,1932,69
19747,United States,athlete,1980,34
19748,Malaysia,artist,1958,53
19749,Belgium,artist,1862,72
19750,Japan,gangster,1937,70
19751,United States,athlete,1875,59
19752,Denmark,artist,1928,58
19753,United States,journalist,1918,53
19754,Japan,military personnel,1884,51
19755,"Iran, Islamic Republic of",businessperson,1942,44
19756,Germany,concentration camp guard,1914,34
19757,United States,journalist,1923,68
19758,United Kingdom,artist,1912,68
19759,United States,artist,1952,57
19760,United States,teacher,1890,83
19761,United States,athlete,1939,54
19762,United States,artist,1939,36
19763,Somalia,entrepreneur,1976,43
19764,Canada,entrepreneur,1976,43
19765,Germany,military personnel,1848,70
19766,Australia,athlete,1960,55
19767,United States,surgeon,1837,72
19768,Bulgaria,researcher,1869,38
19769,Sweden,artist,1898,38
19770,Estonia,artist,1950,64
19771,Germany,military personnel,1892,53
19772,United States,artist,1942,73
19773,United States,politician,1766,66
19774,United States,researcher,1966,49
19775,Sweden,military personnel,1925,62
19776,United States,radio personality,1937,64
19777,Belgium,journalist,1957,56
19778,United Kingdom,artist,1947,69
19779,United States,artist,1924,77
19780,Germany,politician,1910,38
19781,United States,artist,1928,49
19782,United States,artist,1948,59
19783,New Zealand,politician,1830,68
19784,United States,military personnel,1916,78
19785,Venezuela,artist,1958,56
19786,Grenada,politician,1942,70
19787,France,artist,1875,91
19788,Belgium,artist,1875,91
19789,France,politician,1813,58
19790,United States,artist,1946,70
19791,Croatia,politician,1890,51
19792,United States,lgbt rights activist,1894,79
19793,United States,artist,1910,85
19794,Germany,religious figure,1892,52
19795,United States,artist,1901,65
19796,United States,artist,1932,75
19797,United Kingdom,teacher,1916,81
19798,Germany,teacher,1916,81
19799,Eritrea,artist,1966,40
19800,United States,sprinter,1957,58
19801,United States,military personnel,1919,90
19802,China,politician,1944,63
19803,United States,athlete,1929,89
19804,United States,day trader,1955,44
19804,United States,spree killer,1955,44
19805,Hungary,politician,1818,65
19806,United States,athlete,1921,78
19807,Australia,artist,1946,61
19808,Netherlands,artist,1943,64
19809,United States,artist,1924,72
19810,Turkmenistan,athlete,1962,47
19811,Russian Federation,athlete,1962,47
19812,France,artist,1827,55
19813,Latvia,military personnel,1894,44
19814,United States,journalist,1943,43
19815,Estonia,military personnel,1909,69
19816,France,politician,1846,44
19817,United States,pianist,1931,73
19818,United States,athlete,1915,51
19819,United States,artist,1923,54
19820,Saudi Arabia,artist,1979,22
19821,United States,conductor,1926,84
19822,United States,artist,1933,74
19823,United Kingdom,engineer,1970,44
19824,Mexico,police officer,1947,38
19825,United States,businessperson,1925,86
19826,United States,artist,1819,65
19827,Spain,artist,1814,29
19828,United States,artist,1921,82
19829,United States,artist,1930,60
19830,United States,athlete,1921,88
19831,United States,artist,1971,32
19832,United States,researcher,1917,87
19833,United States,artist,1943,66
19834,United States,journalist,1919,77
19835,United States,athlete,1933,80
19836,Mexico,artist,1956,53
19837,United States,artist,1959,55
19838,United Kingdom,athlete,1919,46
19839,United States,artist,1935,73
19840,United States,politician,1861,77
19841,Netherlands,athlete,1946,64
19842,United States,radio personality,1945,61
19843,United Kingdom,athlete,1957,41
19844,Afghanistan,politician,1921,86
19845,China,teacher,1587,58
19846,United Kingdom,artist,1947,32
19847,Austria,artist,1790,46
19848,Brazil,military personnel,1944,33
19849,Australia,talent agent,1934,64
19850,United States,journalist,1933,72
19851,Canada,politician,1843,49
19852,Ireland,monk,1924,86
19853,Thailand,politician,1855,53
19854,Mexico,artist,1935,78
19855,United States,lawyer,1932,65
19856,Netherlands,artist,1906,41
19857,United States,personal trainer,1973,35
19857,United States,drug trafficker,1973,35
19858,China,military personnel,238,53
19859,Germany,politician,1826,23
19860,United States,student,1992,14
19861,United States,artist,1923,75
19862,Australia,athlete,1965,34
19863,Italy,researcher,1901,67
19864,Poland,artist,1933,49
19865,United States,politician,1919,60
19866,Afghanistan,politician,1960,46
19867,United States,athlete,1933,83
19868,Japan,politician,1886,57
19869,Mexico,journalist,1975,38
19870,Japan,military personnel,1887,59
19871,United States,artist,1899,58
19872,United States,artist,1926,81
19873,Australia,athlete,1943,56
19874,Finland,artist,1878,44
19875,France,artist,1865,27
19876,Canada,researcher,1933,74
19877,United States,artist,1897,96
19878,France,politician,1837,57
19879,Russian Federation,artist,1952,66
19880,Nigeria,businessperson,1933,82
19881,Hungary,athlete,1979,25
19882,United States,politician,1939,60
19883,United Kingdom,physician,1881,74
19884,United Kingdom,artist,1941,71
19885,Australia,artist,1946,72
19886,United States,artist,1902,66
19887,United States,researcher,1937,69
19888,Finland,athlete,1899,65
19889,Brazil,researcher,1882,66
19890,United States,athlete,1886,44
19891,United States,businessperson,1952,60
19892,United States,artist,1954,64
19893,United Kingdom,artist,1928,79
19894,Japan,artist,1924,39
19895,United States,conductor,1929,76
19896,United States,artist,1936,71
19897,Australia,artist,1889,63
19898,Armenia,researcher,1946,67
19899,United States,politician,1879,85
19900,Lithuania,artist,1931,77
19901,Mexico,religious figure,1926,67
19902,Poland,military personnel,1906,35
19903,United States,artist,1908,79
19904,Canada,politician,1943,61
19905,United States,artist,1956,56
19906,Spain,artist,1952,65
19907,Argentina,artist,1952,65
19908,France,monk,1567,22
19909,United Kingdom,politician,1915,69
19910,China,researcher,1948,56
19911,Australia,researcher,1948,56
19912,United States,teacher,1941,71
19913,Greece,artist,1900,73
19914,United States,air force officer,1906,84
19915,Switzerland,artist,1878,80
19916,France,artist,1878,80
19917,France,politician,1897,70
19918,United States,physician,1813,67
19919,United States,businessperson,1856,59
19920,Germany,politician,1906,39
19921,France,artist,1920,82
19922,United States,artist,1913,50
19923,United States,teacher,1901,73
19924,Italy,artist,1963,41
19925,United Kingdom,artist,1944,71
19926,Portugal,artist,1909,46
19927,Brazil,artist,1909,46
19928,Spain,artist,1975,42
19929,Canada,artist,1947,65
19930,United States,artist,1935,78
19931,Australia,artist,1920,40
19932,United States,athlete,1925,94
19933,Germany,teacher,1843,76
19934,Australia,athlete,1934,46
19935,Netherlands,artist,1924,26
19936,Australia,artist,1944,50
19937,Brazil,artist,1839,21
19938,France,aristocrat,1666,73
19939,United States,politician,1940,71
19940,United States,artist,1930,89
19941,China,politician,1935,60
19942,United States,politician,1932,77
19943,United States,artist,1951,59
19944,United States,politician,1887,81
19945,United States,military personnel,1915,92
19946,United States,television producer,1912,78
19946,United States,television director,1912,78
19947,Romania,artist,1950,62
19948,United States,athlete,1976,38
19949,Denmark,artist,1932,84
19950,United States,politician,1822,62
19951,United Kingdom,researcher,1858,75
19952,Canada,politician,1923,78
19953,Denmark,researcher,1708,34
19954,United Kingdom,artist,1918,66
19955,Russian Federation,artist,1939,68
19956,United States,athlete,1933,55
19957,Belgium,civil servant,1633,58
19958,United States,artist,1909,83
19959,United States,athlete,1964,39
19960,United Kingdom,athlete,1887,72
19961,Romania,researcher,1874,78
19962,France,researcher,1903,73
19963,United States,pastor,1929,76
19964,New Zealand,researcher,1966,35
19965,Czech Republic,teacher,1851,73
19966,Denmark,architect,1918,90
19967,United States,artist,1930,76
19968,Sweden,artist,1937,63
19969,Argentina,artist,1924,80
19970,France,politician,1867,65
19971,Hungary,artist,1916,60
19972,Germany,artist,1933,33
19973,Germany,politician,1889,59
19974,United Kingdom,artist,1964,41
19975,Poland,artist,1936,81
19976,Mexico,aristocrat,1484,37
19977,United States,athlete,1930,53
19978,France,military personnel,1889,29
19979,Mexico,religious figure,1957,57
19980,United States,gangster,1898,54
19981,Russian Federation,artist,1934,71
19982,United States,translator,1948,64
19983,Spain,politician,1889,47
19984,Japan,artist,1909,79
19985,France,peace activist,1888,83
19986,United States,politician,1854,60
19987,United States,artist,1909,57
19988,Serbia,journalist,1864,39
19989,United Kingdom,military personnel,1891,68
19990,United States,athlete,1904,55
19991,United States,artist,1942,68
19992,United States,essayist,1920,74
19992,United States,ufologist,1920,74
19993,Mexico,artist,1920,77
19994,Germany,politician,1889,56
19995,United States,artist,1926,91
19996,United States,artist,1977,40
19997,United States,theater director,1931,87
19998,Argentina,theater director,1931,87
19999,Poland,politician,1840,23
20000,United States,researcher,1947,64
20001,United Kingdom,artist,1934,75
20002,United States,artist,1928,85
20003,United States,artist,1896,44
20004,United Kingdom,artist,1951,52
20005,United States,artist,1928,86
20006,United States,criminal,1884,56
20007,Canada,athlete,1929,78
20008,United States,politician,1856,44
20009,Italy,politician,1959,55
20010,Canada,politician,1882,51
20011,New Zealand,farmer,1888,69
20012,Russian Federation,politician,1950,53
20013,United States,politician,1932,73
20014,United States,military personnel,1922,29
20015,United States,athlete,1922,64
20016,France,artist,1754,71
20017,United Kingdom,monarch,1765,72
20018,United States,artist,1927,52
20019,Germany,artist,1949,48
20020,Japan,pharmacist,1929,29
20021,United Kingdom,artist,1967,38
20022,Japan,athlete,1966,41
20023,New Zealand,jeweller,1940,59
20024,United States,artist,1947,53
20025,India,journalist,1957,59
20026,France,artist,1957,36
20027,United Kingdom,snowboarder,2000,18
20028,Russian Federation,athlete,1963,45
20029,United States,athlete,1900,72
20030,Turkey,athlete,1947,51
20031,France,radio personality,1956,46
20032,United States,artist,1911,76
20033,United States,professional wrestler,1924,79
20034,United States,artist,1879,37
20035,United States,politician,1839,71
20036,France,homekeeper,1875,122
20037,United States,artist,1931,74
20038,United States,artist,1921,89
20039,Poland,artist,1972,29
20040,United States,politician,1878,62
20041,United States,politician,1819,60
20042,United States,intellectual,1909,88
20043,United States,artist,1901,69
20044,United Kingdom,military personnel,1899,32
20045,United States,entrepreneur,1909,99
20046,Japan,athlete,1906,60
20047,United States,artist,1953,45
20048,Turkey,politician,1949,44
20049,Mexico,politician,1814,47
20050,Brazil,artist,1927,67
20051,United States,ballet dancer,1928,79
20052,Ireland,politician,1944,75
20053,France,artist,1895,77
20054,United States,artist,1885,52
20055,Czech Republic,politician,1889,48
20056,United States,artist,1911,81
20057,United States,researcher,1926,67
20058,United States,artist,1957,32
20059,South Africa,athlete,1938,77
20060,United States,athlete,1978,37
20061,Peru,artist,1941,65
20062,United States,artist,1950,61
20063,Germany,artist,1950,61
20064,United States,researcher,1962,47
20065,Italy,athlete,1933,59
20066,United States,researcher,1986,27
20067,United States,butler,1900,94
20068,United States,oboist,1921,85
20069,United States,teacher,1931,71
20070,Russian Federation,contract killer,1960,37
20070,Russian Federation,guard,1960,37
20071,Greece,contract killer,1960,37
20071,Greece,guard,1960,37
20072,France,teacher,1937,32
20073,United States,lawyer,1935,84
20074,United States,politician,1912,56
20075,United States,artist,1871,63
20076,Guyana,artist,1871,63
20077,United States,athlete,1925,89
20078,France,artist,1912,67
20079,Israel,artist,1907,65
20080,United States,artist,1940,31
20081,Belarus,athlete,1974,37
20082,United States,artist,1930,78
20083,United States,athlete,1925,69
20084,Brazil,athlete,1966,40
20085,Canada,conservation,1945,58
20085,Canada,mountaineer,1945,58
20086,United Kingdom,athlete,1925,66
20087,France,artist,1919,84
20088,Mexico,politician,1958,51
20089,United States,artist,1929,53
20090,Japan,artist,1981,37
20091,Israel,rabbi,1914,81
20092,United States,artist,1939,69
20093,Argentina,artist,1952,44
20094,China,artist,1925,80
20095,United States,artist,1909,56
20096,France,matador,1954,37
20097,United States,artist,1915,65
20098,United States,athlete,1961,56
20099,United States,artist,1919,46
20100,United Kingdom,activist,1949,62
20100,United Kingdom,peace activist,1949,62
20101,Netherlands Antilles,religious figure,1509,27
20102,United States,researcher,1902,48
20103,Italy,artist,1946,67
20104,China,politician,232,27
20105,United States,artist,1938,65
20106,United States,artist,1932,85
20107,United Kingdom,artist,1924,83
20108,United States,journalist,1939,75
20109,Sweden,artist,1948,64
20110,United States,prostitute,1961,49
20111,China,journalist,1947,42
20112,Malta,politician,1936,76
20113,Brazil,researcher,1798,32
20114,United States,military personnel,1921,90
20115,United States,artist,1963,21
20116,Poland,athlete,1954,57
20117,Germany,researcher,1838,66
20118,France,politician,1116,15
20119,United States,artist,1933,70
20120,United Kingdom,artist,1879,52
20121,Turkey,artist,1936,79
20122,United States,jurist,1960,53
20123,United States,statistician,1951,61
20124,United States,athlete,1910,70
20125,United States,animator,1900,64
20126,Canada,politician,1916,94
20127,Ecuador,artist,1931,77
20128,United States,military personnel,1788,76
20129,France,artist,1917,87
20130,United States,politician,1814,48
20131,Hungary,politician,1880,60
20132,United States,athlete,1893,49
20133,United States,politician,1894,60
20134,United States,artist,1954,52
20135,Sweden,artist,1947,67
20136,United States,athlete,1908,71
20137,United States,artist,1917,29
20138,United States,advocate,1981,38
20138,United States,orator,1981,38
20138,United States,motivational speaker,1981,38
20139,United Kingdom,socialite,1961,36
20139,United Kingdom,environmentalist,1961,36
20139,United Kingdom,philanthropist,1961,36
20139,United Kingdom,humanitarian,1961,36
20140,Japan,politician,1958,45
20141,Costa Rica,politician,1814,46
20142,Austria,artist,1885,60
20143,Japan,artist,1930,89
20144,United States,artist,1938,61
20145,Japan,politician,1927,80
20146,Germany,pedagogue,1765,83
20147,Austria,pedagogue,1765,83
20148,Canada,journalist,1928,74
20149,Italy,artist,1929,49
20150,Japan,artist,1901,31
20151,United Kingdom,engineer,1935,69
20152,United States,journalist,1929,77
20153,Poland,religious figure,1935,65
20154,United States,researcher,1927,78
20155,United States,journalist,1926,84
20156,Greece,artist,1943,62
20157,Mexico,journalist,1964,37
20158,United Kingdom,politician,1557,38
20159,France,artist,1929,67
20160,United States,politician,1834,76
20161,United States,artist,1955,48
20162,United States,artist,1932,39
20163,United States,artist,1934,70
20164,Brazil,athlete,1947,71
20165,Japan,politician,1928,83
20166,United States,artist,1926,62
20167,Greece,athlete,1845,51
20168,United States,artist,1917,80
20169,United States,artist,1902,60
20170,United Kingdom,stunt performer,1962,54
20170,United Kingdom,television presenter,1962,54
20170,United Kingdom,stunt coordinator,1962,54
20170,United Kingdom,freediver,1962,54
20171,United States,judge,1920,88
20172,United Kingdom,artist,1947,31
20173,United Kingdom,politician,1924,62
20174,Hungary,lawyer,1909,49
20175,United Kingdom,motorcycle racer,1957,40
20176,Spain,military personnel,1466,68
20177,Netherlands,artist,1932,72
20178,Sweden,researcher,1925,82
20179,South Africa,athlete,1938,49
20180,United States,athlete,1886,50
20181,United Kingdom,disc jockey,1959,29
20182,France,artist,1966,50
20183,United States,athlete,1962,30
20184,United States,artist,1927,60
20185,Spain,athlete,1943,60
20186,United States,artist,1931,54
20187,United States,artist,1917,84
20188,United States,neurosurgeon,1927,87
20189,France,activist,1916,61
20190,Angola,military personnel,1955,62
20191,Germany,artist,1918,84
20192,Canada,artist,1918,84
20193,United States,artist,1940,58
20194,Poland,artist,1941,55
20195,Germany,politician,1882,69
20196,Ukraine,politician,1976,42
20197,United States,journalist,1953,65
20198,United States,artist,1927,59
20199,United Kingdom,artist,1887,77
20200,Singapore,artist,1929,84
20201,United States,judge,1925,70
20202,United States,artist,1948,55
20203,Canada,athlete,1886,32
20204,United Kingdom,politician,1885,92
20205,Spain,artist,1880,21
20206,United States,artist,1942,77
20207,Japan,politician,1918,75
20208,Honduras,politician,1967,48
20209,United States,artist,1948,65
20210,Germany,military personnel,1815,66
20211,Sweden,artist,1718,45
20212,Italy,athlete,1955,39
20213,United States,military personnel,1918,60
20214,United States,artist,1912,72
20215,Cuba,artist,1912,72
20216,France,military personnel,1847,71
20217,Turkey,politician,1942,66
20218,Zambia,athlete,1967,26
20219,Belgium,artist,1953,21
20220,United Kingdom,artist,1905,46
20221,United States,athlete,1936,51
20222,Hungary,military personnel,1887,59
20223,Argentina,artist,1936,73
20224,South Africa,athlete,1890,57
20225,Austria,artist,1897,89
20226,Sweden,artist,1820,67
20227,United States,artist,1915,19
20228,Spain,artist,1864,52
20229,United Kingdom,politician,1958,51
20230,Hungary,politician,1506,20
20231,Japan,judoka,1917,76
20231,Japan,professional wrestler,1917,76
20232,United Kingdom,businessperson,1957,60
20233,Canada,artist,1861,52
20234,United States,politician,1872,60
20235,United Kingdom,artist,1938,66
20236,Norway,journalist,1950,61
20237,United States,cinematographer,1930,80
20238,France,cinematographer,1930,80
20239,United States,orientalist,1914,94
20240,Russian Federation,businessperson,1947,62
20241,Lithuania,businessperson,1947,62
20242,Israel,businessperson,1947,62
20243,United States,journalist,1960,49
20244,United Kingdom,military personnel,1892,46
20245,Germany,artist,1918,53
20246,United States,athlete,1936,49
20247,Spain,religious figure,1957,62
20248,United States,engineer,1934,71
20249,United Kingdom,politician,1918,66
20250,United States,researcher,1922,87
20251,Spain,athlete,1978,33
20252,Ireland,politician,1944,55
20253,United States,artist,1908,67
20254,France,surgeon,1772,66
20254,France,pathologist,1772,66
20255,United States,researcher,1885,55
20256,Switzerland,artist,1917,90
20257,United Kingdom,athlete,1898,46
20258,China,politician,1931,74
20259,United States,athlete,1919,87
20260,United Kingdom,artist,1928,85
20261,United States,translator,1933,75
20262,United States,artist,1909,94
20263,Mexico,artist,1932,70
20264,Portugal,artist,1910,86
20265,Canada,teacher,1948,67
20266,France,general officer,1895,67
20266,France,colonial administrator,1895,67
20267,France,military personnel,1892,32
20268,Czech Republic,artist,1936,75
20269,Sweden,artist,1941,74
20270,Algeria,politician,1910,85
20271,United Kingdom,artist,1930,86
20272,Finland,artist,1877,77
20273,Hungary,artist,1932,40
20274,Turkey,artist,1959,53
20275,United States,artist,1904,53
20276,United States,artist,1916,74
20277,United States,athlete,1931,63
20278,Indonesia,politician,1932,76
20279,United States,artist,1918,68
20280,United States,athlete,1874,52
20281,United States,journalist,1946,64
20282,United States,athlete,1923,57
20283,France,military personnel,1882,40
20284,Austria,military personnel,1882,40
20285,United States,socialite,1943,26
20286,Germany,politician,1902,50
20287,United States,politician,1936,77
20288,France,artist,1810,30
20289,United States,professional wrestler,1961,40
20290,Norway,athlete,1957,46
20291,Japan,artist,1894,90
20292,United States,researcher,1946,66
20293,Spain,racing automobile driver,1980,33
20294,United States,cinematographer,1931,58
20295,United States,journalist,1940,69
20296,Japan,athlete,1962,56
20297,France,artist,1951,68
20298,United States,artist,1936,57
20299,United States,athlete,1969,31
20300,Sri Lanka,military personnel,1938,54
20301,Denmark,businessperson,1844,48
20302,Romania,athlete,1975,24
20303,France,politician,1763,52
20304,Ireland,artist,1891,59
20305,United States,artist,1943,39
20306,India,artist,1948,57
20307,United States,artist,1915,61
20308,United States,artist,1906,44
20309,United States,artist,1892,86
20310,United States,journalist,1921,80
20311,Austria,politician,1904,41
20312,Canada,athlete,1952,54
20313,Germany,politician,1902,51
20314,Germany,politician,1672,42
20315,United States,politician,1926,90
20316,Canada,athlete,1916,56
20317,United States,artist,1882,74
20318,Australia,socialite,1942,73
20319,Italy,teacher,1885,67
20320,United States,military personnel,1826,59
20321,France,artist,1939,54
20322,Ireland,politician,1959,52
20323,United States,artist,1938,57
20324,United States,lawyer,1819,68
20325,Indonesia,politician,1924,79
20326,Russian Federation,artist,1925,72
20327,United States,athlete,1919,76
20328,United States,journalist,1943,64
20329,France,artist,1945,73
20330,United States,artist,1933,72
20331,United States,artist,1919,93
20332,United States,athlete,1950,43
20333,United States,artist,1917,66
20334,Philippines,politician,1941,64
20335,Germany,athlete,1909,67
20336,United States,politician,1944,70
20337,United States,artist,1907,57
20338,Guatemala,christians jehovah’s witnesses,1820,66
20339,El Salvador,politician,1811,46
20340,Norway,politician,1938,71
20341,Hungary,politician,1823,53
20342,United States,artist,1918,53
20343,Italy,artist,1937,54
20344,United Kingdom,politician,1884,50
20345,United States,athlete,1942,66
20346,United States,politician,1821,80
20347,United States,athlete,1834,39
20348,United States,artist,1861,72
20349,United States,artist,1930,68
20350,New Zealand,artist,1924,80
20351,Germany,artist,1923,85
20352,United States,politician,1939,74
20353,United States,politician,1864,57
20354,Philippines,artist,1959,45
20355,United States,pedagogue,1932,62
20355,United States,director,1932,62
20355,United States,anthropologist,1932,62
20356,Argentina,artist,1940,79
20357,Pakistan,artist,1937,68
20358,United States,politician,1821,77
20359,Italy,habitual offender,1946,42
20360,Germany,artist,1961,55
20361,United States,artist,1901,58
20362,Canada,teacher,1936,54
20363,Canada,architect,1823,79
20364,United States,artist,1929,63
20365,United States,artist,1888,63
20366,United States,artist,1975,30
20367,United States,artist,1921,48
20368,United States,artist,1900,85
20369,Bulgaria,revolutionary,1849,27
20370,Italy,artist,1921,83
20371,France,artist,1877,66
20372,United States,artist,1935,74
20373,United States,artist,1908,82
20374,United States,artist,1945,60
20375,United States,artist,1888,37
20376,United States,politician,1953,49
20377,United States,spy,1844,72
20378,United States,activist,1967,26
20379,China,artist,241,19
20380,Russian Federation,artist,1952,59
20381,India,athlete,1926,80
20382,Netherlands,religious figure,1938,76
20383,United States,artist,1921,71
20384,China,artist,1900,74
20385,Canada,athlete,1897,75
20386,Austria,artist,1935,74
20387,United States,artist,1911,69
20388,Romania,athlete,1982,27
20389,France,athlete,1904,24
20390,Sweden,artist,1948,67
20391,Germany,artist,1939,69
20392,Italy,politician,1966,50
20393,United States,artist,1927,72
20394,Argentina,serial killer,1949,48
20395,United States,inventor,1793,65
20396,United States,athlete,1942,46
20397,United States,researcher,1840,56
20398,United States,artist,1923,74
20399,Ireland,artist,1923,74
20400,United States,artist,1912,98
20401,United States,politician,1896,67
20402,Japan,politician,1876,69
20403,United States,artist,1926,71
20404,Canada,athlete,1944,52
20405,New Zealand,athlete,1941,58
20406,United Kingdom,researcher,1944,61
20407,France,researcher,1798,76
20408,Austria,rock climber,1984,35
20408,Austria,mountaineer,1984,35
20409,France,politician,1885,59
20410,United Kingdom,comedian,1928,74
20411,United States,military personnel,1724,52
20412,United Kingdom,artist,1901,55
20413,United States,athlete,1934,77
20414,Netherlands,athlete,1948,67
20415,United Kingdom,artist,1939,71
20416,Canada,artist,1939,71
20417,Belgium,politician,1938,79
20418,United States,gangster,1906,41
20418,United States,criminal,1906,41
20419,United States,politician,1928,60
20420,Germany,politician,1884,61
20421,China,military personnel,1605,46
20422,Russian Federation,artist,1932,62
20423,United Kingdom,politician,1893,54
20424,Italy,researcher,1931,77
20425,Italy,carabinier,1949,31
20426,United States,artist,1916,52
20427,United States,athlete,1938,70
20428,Mexico,athlete,1953,28
20429,France,military personnel,1894,39
20430,United States,journalist,1950,63
20431,United States,racing automobile driver,1924,42
20431,United States,formula one driver,1924,42
20432,United States,religious figure,1928,84
20433,United States,artist,1943,50
20434,United States,athlete,1918,80
20435,United States,artist,1916,94
20436,Argentina,artist,1943,62
20437,United States,artist,1869,83
20438,United Kingdom,rally driver,1940,67
20439,United States,entrepreneur,1985,30
20440,United States,religious figure,1927,65
20441,Greece,artist,1932,60
20442,Australia,researcher,1878,89
20443,United States,artist,1921,39
20444,Bulgaria,entrepreneur,1966,39
20445,United States,athlete,1926,65
20446,Germany,athlete,1930,87
20447,Canada,politician,1868,67
20448,France,artist,1961,52
20449,Canada,artist,1932,75
20450,United Kingdom,artist,1945,64
20451,United States,businessperson,1844,65
20452,United States,businessperson,1830,62
20453,United States,athlete,1945,61
20454,United States,artist,1940,71
20455,Czech Republic,athlete,1968,49
20456,United States,artist,1946,58
20457,Canada,politician,1910,90
20458,France,artist,1688,49
20459,United States,artist,1864,58
20460,United States,artist,1875,73
20461,United States,politician,1879,58
20462,United States,artist,1931,25
20463,Argentina,presbyter,1840,74
20464,Spain,politician,1930,80
20465,France,politician,1930,80
20466,South Africa,athlete,1965,50
20467,Belgium,artist,1957,52
20468,Austria,artist,1902,44
20469,Estonia,military personnel,1886,55
20470,United States,artist,1943,60
20471,Switzerland,researcher,1906,58
20472,United Kingdom,artist,1960,51
20473,Monaco,politician,1923,82
20474,Japan,businessperson,1962,48
20475,United Kingdom,politician,1715,48
20476,United States,politician,1846,52
20477,United States,artist,1963,37
20478,Hungary,count,1812,29
20479,United States,military personnel,1921,86
20480,"Iran, Islamic Republic of",politician,1891,40
20481,Germany,military personnel,1884,58
20482,Spain,military personnel,1862,74
20483,Turkey,journalist,1896,59
20484,United States,politician,1944,64
20485,United States,gangster,1887,51
20486,United States,athlete,1907,52
20487,United States,politician,1930,75
20488,United States,lawyer,1949,37
20489,Russian Federation,athlete,1986,25
20490,Germany,athlete,1986,25
20491,Canada,athlete,1887,62
20492,United States,firefighter,1963,41
20493,Canada,researcher,1919,96
20494,United States,researcher,1906,62
20495,United States,racing driver,1961,41
20496,Spain,artist,1874,62
20497,Australia,artist,1932,81
20498,Azerbaijan,politician,1945,64
20499,United Kingdom,politician,1945,44
20500,Morocco,politician,1950,57
20501,United States,artist,1911,82
20502,United States,rabbi,1921,54
20502,United States,investment banker,1921,54
20503,France,aristocrat,1661,24
20504,Ukraine,athlete,1980,29
20505,Italy,conductor,1914,54
20506,Italy,artist,1958,57
20507,United States,peace activist,1915,93
20508,United States,athlete,1939,56
20509,United Kingdom,artist,1927,87
20510,Japan,politician,1879,47
20511,United States,artist,1898,91
20512,United Kingdom,politician,1902,59
20513,Sweden,artist,1903,68
20514,United States,athlete,1937,50
20515,Romania,politician,1898,26
20516,United States,religious figure,1955,37
20517,China,military personnel,1943,63
20518,France,artist,1855,44
20519,New Zealand,athlete,1938,71
20520,Italy,artist,1913,47
20521,Japan,go professional,1889,83
20522,Italy,jurist,1901,82
20523,United States,artist,1928,79
20524,United States,athlete,1977,37
20525,Austria,artist,1944,65
20526,United Kingdom,artist,1963,33
20527,Peru,military personnel,1887,23
20528,France,military personnel,1887,23
20529,France,artist,1929,57
20530,United States,entrepreneur,1934,74
20531,United States,religious figure,1803,82
20532,Italy,artist,1933,72
20533,India,police officer,1963,55
20534,Germany,politician,1871,54
